num_substrates,feature_method,avg_accuracy,avg_classwise_acc,std_err_avg_acc,std_err_avg_classwise_acc,avg_precision,avg_recall,avg_f1_score
7,lstm_with_attention,0.7425531914893618,0.734625850340136,0.02251095085921204,0.02393344277800688,0.7608154543868829,0.7346258503401362,0.7332816625607427
7,just_attention,0.6913968547641073,0.6721428571428572,0.047363552266419966,0.06082171621807992,0.6902886002886002,0.6721428571428572,0.6633734074577486
8,lstm_with_attention,0.7637647058823529,0.7620436507936508,0.024873505434246036,0.03191228478294883,0.8051829420579422,0.7620436507936508,0.7561128368965055
8,just_attention,0.775843137254902,0.7766269841269842,0.07238055692757356,0.07411044567765863,0.7908946608946609,0.7766269841269842,0.7721865844853462
9,lstm_with_attention,0.7563636363636365,0.7483421516754849,0.046378977286853994,0.06396226052138998,0.7642215808882474,0.748342151675485,0.7382034773314443
9,just_attention,0.6384511784511784,0.6256701940035273,0.045547678625001094,0.035971685494797775,0.6531128747795414,0.6256701940035274,0.6203023367337094
10,lstm_with_attention,0.7095583787053842,0.6988571428571428,0.05703993263709866,0.04057562793429735,0.7359731379731379,0.6988571428571428,0.6933264253806048
10,just_attention,0.692377495462795,0.6786507936507936,0.05568267876105915,0.07190674600437197,0.730038961038961,0.6786507936507936,0.6678693482300293
11,lstm_with_attention,0.7011104617182934,0.6922294372294371,0.08392931854714394,0.08853632221430066,0.7233025055752328,0.6922294372294372,0.68481083822204
11,just_attention,0.6736995908825248,0.6566522366522367,0.04834586083656176,0.06231452910380965,0.6805686737504919,0.6566522366522367,0.6423659422507305
