num_substrates,feature_method,avg_accuracy,avg_classwise_acc,std_err_avg_acc,std_err_avg_classwise_acc,avg_precision,avg_recall,avg_f1_score
2,countvectorizer,0.8504761904761905,0.85,0.053162993,0.055730309051168686,0.8647222222222222,0.85,0.84830227
2,doc2vec_dbow,0.919047619,0.9178571428571429,0.026255331,0.030618621784789704,0.9313888888888889,0.9178571428571428,0.9176219205630969
2,doc2vec_dm,0.7428571428571429,0.7392857142857143,0.078765993,0.086639353,0.7809432234432234,0.7392857142857143,0.728109064
2,word2vec_cbow,0.8790476190476191,0.8803571428571428,0.048897134,0.046770717334674264,0.8982142857142856,0.8803571428571428,0.8770202183437477
2,word2vec_sg,0.9047619047619048,0.9053571428571429,0.069203437,0.071562375,0.913888889,0.905357143,0.9034426847662143
2,fasttext_sg,0.9180952380952381,0.9178571428571429,0.052024762985705394,0.054573953,0.9264285714285714,0.9178571428571428,0.9169841269841269
2,fasttext_cbow,0.919047619,0.9196428571428571,0.049670114,0.050507627,0.9327777777777777,0.9196428571428571,0.9177442002442002
2,lstm_with_attention,0.8495238095238096,0.8482142857142858,0.072380952,0.072974346,0.8605952380952382,0.8482142857142857,0.8469841269841271
2,just_attention,0.8904761904761905,0.8875,0.072029221,0.073972554,0.9058333333333333,0.8875,0.888034188
2,vanilla_lstm,0.838095238,0.8375,0.067343503,0.069482416,0.846031746,0.8375,0.8364188752424047
2,transformer,0.903809524,0.903571429,0.072556179,0.07435951,0.913333333,0.903571429,0.902478632
3,countvectorizer,0.7368421052631579,0.7638095238095238,0.066574267,0.07563263,0.7791269841269841,0.7638095238095238,0.7366522366522367
3,doc2vec_dbow,0.8526315789473685,0.8521428571428571,0.077352308,0.075146871,0.8550264550264549,0.8521428571428572,0.8454736113559642
3,doc2vec_dm,0.7157894736842105,0.7176190476190476,0.05367389,0.059014007,0.7549110149110149,0.7176190476190477,0.6907421245192142
3,word2vec_cbow,0.8,0.7826190476190475,0.10205641805087011,0.12273480435290748,0.848040293,0.7826190476190474,0.7762564015505192
