,high_level_substr,sig_gene_seq
33,alpha-mannan,"GH92,GH38|CBM32,GT32,GT32,null,null,null,GH130,GH125,GH76,null,GH92,HTH_AraC,null,1.B.14,null,null,null,GH76,null,null"
34,alpha-mannan,"null,null,null,HTH_8,HisKA|HATPase_c|Response_reg,GH97,null,GH67,GH76,null,null,1.B.14,null,HTH_AraC,GH92,null,GH76,GH125,null"
35,alpha-mannan,"GH92,GH38|CBM32,GT32,GT32,null,null,null,GH130,GH125,GH76,null,GH92,null,HTH_AraC,null,1.B.14,null,null,null,GH76"
36,alpha-mannan,"null,1.B.14,null,null,null,GH92,null,null,null,GH99"
37,alpha-mannan,"GH97,null,GH67,GH76,null,null,1.B.14,null,HTH_AraC,GH92,null,GH76,GH125"
38,arabinan,"3.A.1,8.A.59,HTH_AraC|HTH_AraC,3.A.1,null,null,3.A.1,3.A.1,GntR,null,null,null,null,GH43_5,SBP_bac_1,3.A.1,3.A.1,GH43_4,GH51,GH51,null,null,null,null,GH127,8.A.59,HTH_AraC|HTH_AraC,SBP_bac_1,3.A.1,3.A.1,null,CE4,GH52,GH10,null,3.A.1,3.A.1,GH67,GH39,PfkB,null,GntR,null,null,null,9.B.28,null,null,AAA,null,null,null,GH43_11,null,null,null"
39,arabinan,"3.A.1,3.A.1,MarR,null,GH43_24,GH30_5,0045030,2.A.3,null,3.A.1,HTH_11,2.A.3,GH146,null,GH43_22|GH43_34,GH43_22|GH43_26,GH43_27,GH43_22,GH43_22,9.B.28,3.A.1,3.A.1,LacI,3.A.1"
40,arabinan,"GH146,1.B.14,null,null,GH43_29,GH121,1.B.14,null,null"
41,arabinan,"GH43_4,null,1.B.14,null,1.B.14,null,HTH_AraC|HTH_AraC,GH43_4,GH51,GH43_29"
42,arabinan,"2.A.3,null,null,GH43_22|GH43_34,GH43_22|GH43_26,GH43_27,GH43_22,GH43_22,9.B.28"
43,arabinan,"2.A.3,HTH_5,GH43_22,9.B.28"
44,arabinan,"GH51,GH146,null,null,null,null,NUDIX,2.A.21,null,null,null,null,GH43_4,null,1.B.14,null,1.B.14,null,HTH_AraC|HTH_AraC,GH43_4,GH51,GH43_29"
45,arabinan,"SBP_bac_3,3.A.1,3.A.1,GH43_4,GH127,GH51,GH27,GH51,3.A.1,3.A.1,3.A.1,GH146"
46,arabinan,"GH51,3.A.1,3.A.1,3.A.1,null,null,null,null,null"
47,arabinan,"HTH_AraC,GH43_2|CBM6,GH3,GH43_17,GH9,null,1.B.14,GH43_7|GH43_7,null,CE1"
48,arabinan,"1.B.14,null,PL1_2,null,GH43_18,GH143|GH142,CBM67|GH78"
49,arabinan,"null,null,GH43_4,null,null,GntR,null,GH2,null,GH43_4,GH127,GH51,null,3.A.1,3.A.1,3.A.1,null,GH43_26,GH51,null,GH27,3.A.1,HTH_8,null"
50,arabinogalactan,"3.A.1,3.A.1,MarR,null,GH43_24,GH30_5,0045030,2.A.3,null,3.A.1,HTH_11,2.A.3,GH146,null,GH43_22|GH43_34,GH43_22|GH43_26,GH43_27,GH43_22,GH43_22,9.B.28,3.A.1,3.A.1,LacI,3.A.1"
51,arabinogalactan,"GH43_24|GH16,GH16,null,null,1.B.14,null,1.B.14,null,HTH_AraC"
52,arabinogalactan,"null,PL27,GH43_24,GH43_24,null,HTH_AraC|HTH_AraC,null,null,null,null,1.B.14,null,null,null,null,null,null,null,null,null,null,null,null,1.A.30,null,null,null,null,GH35,null"
53,arabinogalactan,"GH127,GH43_34,null,GH154,HTH_AraC,null,1.B.14,null,null,GH16|GH43_24,null,GH43_24,GH145,GH105"
54,arabinogalactan,"LacI,SBP_bac_1,3.A.1,3.A.1,GH36,-,null"
55,arabinoxylan,"GH43_10,GH3,null,GH43_12,GH31,GH97,GH43_29|CBM6,GH43_12,1.B.14,null,1.B.14,null,null,null,GH30_8,GH98|CBM35,GH115,CE6|CE1,GH43_29|CBM6,HTH_AraC,GH95,null,null,HTH_8|HTH_AraC,GH30,1.B.14,null,null,null,null,null,GH115,null"
56,arabinoxylan,"null,GH67,GH43_1,GH10,2.A.2,null,GH10,null,null,1.B.14,HTH_AraC|HTH_AraC|HTH_AraC"
57,arabinoxylan,"null,null,3.A.1,3.A.1,SBP_bac_1,GH43_26,null,LacI,GH43_27,GH43_4,GH43_4,null,GH51,3.A.1"
58,arabinoxylan,"CE1,null,GH43_7|GH43_7,1.B.14,null,CE6|CE1,CE1,null,GH43_17,GH3,GH43_2|CBM6,HTH_AraC|HTH_AraC"
59,arabinoxylan,"HTH_AraC,GH43_2|CBM6,GH43_17,CE1,CE1,null,null,GH43_7|GH43_7,null,CE1"
60,arabinoxylan,"HTH_AraC,GH43_2|CBM6,GH3,GH43_17,null,GH43_7|GH43_7,null,CE1,null,1.B.14"
61,beta-galactooligosaccharide,"2.A.2,GH2,LacI"
62,beta-galactooligosaccharide,"3.A.1,GH42,3.A.1,3.A.1,LacI"
63,beta-galactooligosaccharide,"null,null,null,null,null,GH42,2.A.2,null,LacI,GH2,null,null"
64,beta-galactooligosaccharide,"LacI,2.A.2,GH2"
65,beta-glucan,"null,GH16"
66,beta-glucan,"GH26,GH9,GH9"
67,beta-glucan,"HTH_AraC,GH16,1.B.14,8.A.46,null,GH3"
68,beta-glucan,"GH5_4,CBM4,null,null,1.B.14,null,1.B.14,HTH_AraC|HTH_AraC|HTH_AraC"
69,beta-glucan,"GH3,HTH_AraC,GH16,1.B.14,8.A.46,null,GH3"
