,high_level_substr,sig_gene_seq
220,pectin,"1.B.14,CE8,PL10_1"
221,pectin,"null,null,null,2.A.56,2.A.56,2.A.56,LacI,null,null,null,null,PfkB,CE12,null,1.B.14,GH105,GH28,CE8"
222,pectin,"TrmB,PL1_2,null,PL1_5|PL1_5"
223,pectin,"GH28,2.A.1"
224,pectin,"GH43_19|GH43_34,GH27,GH2,GH95,GH51,GH28,GH28,2.A.21,null,GH2,null,HTH_AraC,null,null,null,GH92,GH92,null,1.B.14,GH89"
225,pectin,"CBM67|GH78,null,GH142,GH95,null,CBM67|GH78,GH143,GH43_18,GH28,GH140,null,PL1_2,null,PL1_2,null,1.B.14,CE8,GH127,PL1_2,GH139,null,GH106,GH2,GH137,null,GH78,HTH_AraC"
226,pectin,"GH2,CE12|CE12,null,GH28,null,null,GH117,null,null,1.B.14,GH106,GH105"
227,pectin,"CE12,GH28,PL10_1|CE8,GH43_10,GH105,GH105,GH105,null,8.A.46,1.B.14,GH28,LacI"
228,pectin,"GH105,CE8,CE12|CE8,HTH_AraC,PL1_2,PL1_2,PL1_2,CE8,null,null,1.B.14,9.B.116,LytTR,PL1_2,null,null,PL1_2,1.B.14,8.A.46,null,null,CE8,GH28,GH3,GH43_10,null,HTH_AraC|HTH_AraC"
229,pectin,"null,Sigma70_r2|Sigma70_r4_2,null,PL1_2,HTH_AraC,null,GH2,GH139,null,GH106,null,3.A.3,HisKA|HATPase_c,Trans_reg_C,null,GH2,GH2,HisKA|HATPase_c,HTH_AraC,GH137|GH2|CBM57,GH138,2.A.21,null,null,GH78,GH141,GH127,null,null,Nitroreductase,null,null,null,GH95,GH105,GH140,CBM67|GH78|GH33,null,null,null,null,GH28,CBM67|GH78,GH143|GH142,GH43_18,null,PL1_2,null,1.B.14,null,null,null,1.B.14,null"
230,pectin,"GH133,GH13_10,null,null,8.A.46,1.B.14,GH2,GH53,GH147"
231,pectin,"HTH_AraC,GH140,null,null,null,1.B.14"
232,pectin,"HTH_AraC,null,GH2,GH139,null,GH106,null,3.A.3,HisKA|HATPase_c,Trans_reg_C,null,GH2,GH2,HisKA|HATPase_c,HTH_AraC,GH137|GH2|CBM57,GH138,2.A.21,null,null,GH78,GH141,GH127,null,null,Nitroreductase,null,null,null,GH95,GH105,GH140,CBM67|GH78|GH33,null,null,null,null,GH28,CBM67|GH78,GH143|GH142,GH43_18,null,PL1_2,null,1.B.14,null,null,null,1.B.14,null"
233,pectin,"GH43_34,GH43_10,GH97,GH29,null,HTH_AraC|HTH_AraC,null,null,1.B.14,null,null,null"
234,pectin,"GH106,GH28,null,null,GH28,CE12,GH2,GH43_18|GH42,GH28,CE4,GH28,GH2,CBM35,null,null,GH35,null,null,null,1.B.14,8.A.46,null,null,1.B.14,null,PL9,null,PL26,CE12|CE12,GH105,PL11_1,GH105,null,HTH_AraC|HTH_AraC,CE4,CE6,GH2,HTH_AraC,PL9_1"
235,pectin,"GH2,GH53,null,8.A.46,1.B.14,GH147,HTH_AraC|HTH_AraC|HTH_AraC"
236,pectin,"null,null,null,null,GntR,GH28,2.A.2,GH105,null,null,PfkB,null,null,null,TrmB"
237,pectin,"null,1.B.14,PL1_2"
238,pectin,"null,1.B.14,null,null,2.A.66,GH28,null"
239,pectin,"null,1.B.14,null,null,PL1_2,null,null,1.B.14,null"
240,pectin,"null,GH36,null,1.B.14,null,PL1"
241,pectin,"1.B.14,null,null,GH3,HTH_AraC|HTH_AraC,GH57,GT4,GH133"
242,pectin,"null,1.B.14,null,null,null,null,GH3,null,1.B.14,8.A.46,null,null,null,null,null"
243,starch,"GH13_10,null,8.A.46,1.B.14,LacI"
244,starch,"GH31|CBM20,GH31|CBM35,0040266"
245,starch,"3.A.1,3.A.1,3.A.1,3.A.1,HTH_12,null,GH65,CBM34|GH13_20,8.A.9,null,LacI,null"
246,starch,"3.A.1,3.A.1,3.A.1,GH13_1,LacI|Peripla_BP_3"
247,starch,"8.A.9,GH77,9.B.28,3.A.1,3.A.1,LacI,3.A.1,8.A.9"
248,starch,"8.A.9,CBM34|GH13_20,null,3.A.1,3.A.1,3.A.1"
249,starch,"LacI,GH13_2,2.A.2,null,GH97,1.B.14,null,8.A.9"
250,starch,"GH13_20,8.A.9,3.A.1,3.A.1,3.A.1"
251,starch,"GH13_10,null,null,8.A.46,1.B.14,GH97,GH13"
252,starch,"8.A.9,null,null,8.A.46,1.B.14,GH97,8.A.9,null"
253,starch,"GH65,GH97,GH31,GH66,null,8.A.46,1.B.14,null,null"
254,starch,"GH97,GH13,GH13,null,null,1.B.14"
255,starch,"1.B.14,8.A.46,null,GH66,GH31,GH97"
256,starch,"GT35,GH77,LacI"
257,starch,"CBM82|CBM83|GH13_41,null,HTH_1,Pyr_redox_2"
258,starch,"SBP_bac_1,3.A.1,3.A.1,GH13_36"
259,xylan,"GH30_8,GH43_16|CBM6"
260,xylan,"null,null,GH43_11,null,null,GH10,9.B.28,null,null,null,GntR,null,PfkB,GH39,GH67,3.A.1,3.A.1,3.A.1,GH10,GH52,CE4,null,3.A.1,3.A.1,SBP_bac_1,HTH_AraC|HTH_AraC,8.A.59,null,null,null,null,GH51,3.A.1,3.A.1,3.A.1,null,null,null,GntR,3.A.1,3.A.1,3.A.1"
261,xylan,"null,GH67,GH3,null,null,null,8.A.59,HTH_AraC,null,3.A.1,null,null"
262,xylan,"1.B.14,HTH_AraC|HTH_AraC,GH97,GH3,GH43_10,GH146,GH115,CE6|CE1,null,GH43_12,null,1.B.14"
263,xylan,"null,null,GH120,null,GH43_12,GH43_11,3.A.1,3.A.1,3.A.1,LacI,null,null"
264,xylan,"null,GH127,null,null,GH43_26,GH2,GH5_13,null,null,1.B.14"
265,xylan,"GH43_10,GH43_12,null,null,GH43_1,1.B.14,null,null,null,null,null,null,null,LacI,null,GH3,GH67,null,null,GH10,GH115,CE15,null,null,2.A.21"
266,xylan,"GH10|CE1,GH95,GH3,SBP_bac_1,HTH_AraC|HTH_AraC"
267,xylan,"HTH_AraC|HTH_AraC,1.B.14,null,null,GH10,null,GH35,null,2.A.2,GH10|GH43_12,GH43_1,null,GH67,null,null,0036286,null,GH8,CE6|GH95,CE1,GH5_21,null,GH10,null,null,null,null,1.B.14,null,null,GH115"
268,xylan,"GH43_29,HTH_AraC,null,null,null,null,null,1.B.14,GH43_12,GH43_1,GH10,null,2.A.2,null,GH16"
269,xylan,"GH10,GH2,null,GH10,2.A.1,null,2.A.2,GH43_1"
270,xylan,"GH43_16|CBM6,GH10|CBM6,GH43_29|CBM6,CE1|CBM6,GH43_10|CBM6,GH62|CBM6,GH43_29|CBM6,GH146|CBM22,GH27|CBM6,GH59|CBM6,GH2|CBM6"
271,xylan,"GH67,3.A.1,3.A.1,3.A.1,3.A.1,3.A.1,CBM22|CBM22|GH10|CBM9|CBM9,null,null,null,HTH_11,null,PfkB,null,null,GH10,3.A.1,3.A.1,3.A.1,3.A.1,3.A.1,GH3,CE7,3.A.1"
272,xylan,"null,8.A.46,1.B.14,Sigma70_r2|Sigma70_r4_2,GH67,2.A.2,null,GH13_14"
273,xylan,"GH10,GH43_1"
274,xylan,"null,null,null,null,null,null,GH10,3.A.12,ATPase_2,null,null,null,null,null,SBP_bac_1,3.A.1,3.A.1,8.A.49,GH10,null,null,null,null,null,null,null,null,Fer4"
275,xylan,"null,2.A.1,HTH_AraC|HTH_AraC,1.B.14,null,1.B.14,GH43_10,HTH_AraC|HTH_AraC,GH43_1,GH10,2.A.2,null,GH67"
276,xylan,"null,null,GH43_11,2.A.2,2.A.1,null,null"
277,xylan,"GH3,HTH_AraC,1.B.14,null,null,GH10,GH16,GH8,2.A.2"
278,xylan,"8.A.46,1.B.14,HTH_AraC|HTH_AraC,GH97,GH3,GH43_10,GH146,GH115,null,GH43_12,null,1.B.14,GH3"
279,xylan,"8.A.59,HTH_AraC|HTH_AraC,SBP_bac_1,3.A.1,3.A.1,null,CE4,GH52,GH10,null,3.A.1,3.A.1,GH67,GH39,PfkB,null,GntR,null,null,null,9.B.28,null,null,AAA,null,null,null,GH43_11,null,null"
280,xylan,"GH43_10,GH3,null,GH43_12,GH31,GH97,GH43_29|CBM6,GH43_12,1.B.14,null,null,null,null,GH10,null,GH5_21,CE6|CE1,GH43_29|CBM6,Reg_prop|Reg_prop|Reg_prop|Y_Y_Y|HisKA|HATPase_c|Response_reg|HTH_18,GH95,GH115"
281,xylan,"HTH_AraC|HTH_AraC,8.A.59,3.A.1,3.A.1,3.A.1,GH67,GH10,GH43_12"
282,xylan,"9.B.33,3.A.1,HTH_5,GH51"
283,xylan,"HTH_AraC|HTH_AraC,dCache_1|HATPase_c,SBP_bac_1,GH43_11,3.A.1,3.A.1,3.A.1"
284,xylan,"null,null,null,null,GH10,9.B.28,null,null,null,GntR,null,PfkB,GH39,GH67,3.A.1,3.A.1,3.A.1,GH10,GH52,CE4,null,3.A.1,3.A.1,SBP_bac_1,HTH_AraC|HTH_AraC,8.A.59"
285,xylan,"LacI,GH43_15|CBM6,CBM4|CBM4|GH10,null,null,null,null,GH10,GerE,FecR,1.B.14,8.A.46,GH67,GH3,GH3"
286,xylan,"GH67,null,2.A.2,GH10,GH43_1,GH43_35,null,GH5_21,GH10,null,null,null,null,1.B.14"
287,xylan,"1.B.14,null,null,null,GH35"
288,xylan,"GH128,null,null,GH51|GH43_19,null,1.B.14,null,null,null,null"
289,xylan,"null,null,1.B.14,null,null,null,1.B.14,null,null,null,PL11_1,GH3,GH43_7,PL11_1,GH2"
290,xylan,"GH43_24,null,GH51|GH43_19,null,1.B.14,8.A.46,null,null,1.B.14,null,GH128"
291,xylan,"GH43_12,GH115,GH43_10,GH97,GH43_29|CBM6,CE1|CE1,GH95,GH115,null,HTH_AraC,null,GH30_8,null,null,null,null,null,1.B.14"
292,xylan,"1.B.14,null,null,GH10,GH115,GH11,2.A.2,GH10,GH43_1"
293,xylan,"GH10,null,null,null,null,1.B.14,GH43_12,GH43_1,GH10,HTH_AraC|HTH_AraC,null,GH146,NUDIX,CE1,GH8,CE6,GH43_29|CBM6,GH43_29|CBM6,GH97,GH31,HTH_AraC,null,GH51,GH43_29,CE1|CE1,GH43_10,GH115,null,2.A.2,GH10,GH43_1,GH67,null,null,HTH_AraC|HTH_AraC,1.B.14,8.A.46"
294,xyloglucan,"GH3,GH2,GH31,HTH_AraC|HTH_AraC,null,GH9,null,null,1.B.14,GH5_4,GH43_12,null,GH43_12,null,null,GH3"
295,xyloglucan,"1.B.14,null,null,null,null,null,GH5_4,Reg_prop|Reg_prop|Reg_prop|Reg_prop|Reg_prop|Reg_prop,HTH_AraC|HTH_AraC,GH31,GH2,GH3"
296,xyloglucan,"1.B.14,8.A.46,null,null,GH43_12,null,GH5_4,HTH_AraC|HTH_AraC,GH31,GH2,GH3,null,GH95"
297,xyloglucan,"null,1.B.14,null,null,GH43_12,GH5_4,null,HTH_AraC|HTH_AraC,GH31,GH2,GH3,null,GH95"
298,xyloglucan,"GH2,GH5_4,null,8.A.46,1.B.14,GH31,HTH_AraC,GH95,null,GH3,GH43_12"
299,xyloglucan,"GH31,GH35,1.B.14,GH95"
300,xyloglucan,"null,HATPase_c,null,9.B.174,GH3,GH2,GH31,HTH_AraC|HTH_AraC,GH9,null,null,1.B.14,GH5_4,GH43_12,GH43_12,GH3"
